SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
NOS1AP,-0.923095575,0.003431074,,,,,,,,SLC7A5,,
FAM20B,-0.248494645,0.435124884,,,,,,,,SPRTN,,
WDR1,-0.352323702,0.000511037,,,,,,,,CASP8,,
N4BP1,-0.362962215,0.443397112,,,,,,,,NR0B2,,
ROCK2,-1.201272984,2.25E-18,,,,,,,,RASAL1,,
CLASP2,-1.524004849,6.71E-09,,,,,,,,SPZ1,,
COBL,-1.581167913,6.57E-05,,,,,,,,RUNX3,,
CPNE3,-0.701606385,6.63E-10,,,,,,,,AKR1C3,,
HIP1R,-1.274893918,9.86E-11,,,,,,,,IRS2,,
RNF40,-0.314124065,0.396419459,,,,,,,,RIPK1,,
ZC3H11A,-0.15811275,0.712828988,,,,,,,,TNFRSF10B,,
CLUH,-0.235582946,0.093624701,,,,,,,,TNFRSF10A,,
TSC22D2,-0.064477672,0.799522098,,,,,,,,KAT2B,,
DNAJC13,-1.309850475,2.03E-15,,,,,,,,FUBP1,,
PPP6R2,-0.404495858,0.01202917,,,,,,,,MBD2,,
CNOT3,-0.750626389,0.001885583,,,,,,,,CCNE1,,
ANKRD17,3.296706405,1.71E-13,,,,,,,,SPAG9,,
XYLB,0.814467569,6.18E-06,,,,,,,,UNC119,,
PEX11A,0.060527379,0.794263384,,,,,,,,RGN,,
COQ9,0.907698525,1.38E-09,,,,,,,,HGS,,
GGCT,-0.660456658,7.06E-09,,,,,,,,SLC9A3R1,,
NDUFS7,0.28029905,0.042620969,,,,,,,,ABCG2,,
RTN2,-0.868185492,0.004053575,,,,,,,,CD34,,
NDUFS2,-0.090684987,0.42299416,,,,,,,,GDF15,,
ZPR1,-1.951161851,9.65E-20,,,,,,,,APOBEC3B,,
USP12,-0.198110729,0.592144281,,,,,,,,PCLAF,,
GBAS,-0.890543544,0.000238045,,,,,,,,ZEB2,,
HMMR,-0.156607395,0.48294107,,,,,,,,MFN2,,
PDCD6,-0.936401293,6.12E-10,,,,,,,,NR1H4,,
TBCA,-0.520519297,0.005727221,,,,,,,,AKT3,,
ATP6V1G1,-0.605172762,1.52E-05,,,,,,,,NR2E3,,
VPS4B,-0.551444736,6.29E-05,,,,,,,,CDKN2B-AS1,,
MPDU1,0.947898565,5.48E-13,,,,,,,,MIR665,,
ENTPD5,0.489179632,0.000654804,,,,,,,,MIR374B,,
H2AFY,-0.779399879,0.024848358,,,,,,,,MIR920,,
SH3BGRL,0.139785815,0.583053621,,,,,,,,MIR935,,
FLNB,-0.430329359,1.58E-06,,,,,,,,MIR543,,
NCOR1,0.813063245,0.022068855,,,,,,,,MIR760,,
VAMP4,0.515205092,0.032449826,,,,,,,,HDAC6,,
NDUFS6,0.585098,0.035095144,,,,,,,,ACTA2-AS1,,
PEX14,-0.093513841,0.635003233,,,,,,,,CD24,,
TRIM3,1.547918771,0.000255489,,,,,,,,TROAP,,
SLC43A1,-0.597706607,0.009859741,,,,,,,,TSPY10,,
CS,-0.778692665,1.31E-12,,,,,,,,MIR1247,,
SPAG7,-0.627904627,0.007454301,,,,,,,,MIR1258,,
SEC22B,-0.121660942,0.259785974,,,,,,,,MIR1228,,
PRPF40A,-1.621883209,2.95E-12,,,,,,,,HOTTIP,,
TACC1,-0.953121843,0.004063013,,,,,,,,CHAF1A,,
NME6,-0.018185492,0.950368837,,,,,,,,BAALC-AS1,,
GIGYF1,1.508729036,0.001198576,,,,,,,,MIR3664,,
LRCH4,0.456061831,0.177423834,,,,,,,,LUCAT1,,
MTX2,-0.057223682,0.785917283,,,,,,,,THORLNC,,
VPS26A,-1.066073954,2.04E-16,,,,,,,,LINC00665,,
NDUFB1,0.166134573,0.465623334,,,,,,,,SNHG16,,
PMPCB,-0.323388563,0.012670295,,,,,,,,MINCR,,
MED24,1.880460699,9.18E-06,,,,,,,,GMDS-DT,,
RDH16,3.260577895,5.37E-23,,,,,,,,GJC1,,
PSIP1,-1.636663973,8.92E-12,,,,,,,,ABCB6,,
ERLIN1,1.642028693,1.87E-17,,,,,,,,HEIH,,
GPC4,-0.951121439,0.003869352,,,,,,,,LINC00554,,
NDUFS3,0.059335219,0.649544189,,,,,,,,ZNF385D-AS2,,
SRSF10,-1.138765407,1.83E-08,,,,,,,,LINC00210,,
CLN5,-0.285896141,0.329026957,,,,,,,,ACTR3,,
HSBP1,-0.822661144,1.90E-05,,,,,,,,LRPPRC,,
ECI2,0.448605779,0.004691182,,,,,,,,TRAP1,,
BANF1,-1.230996161,4.44E-09,,,,,,,,BCAP31,,
SF3B1,-1.568993736,3.98E-26,,,,,,,,ROR1-AS1,,
CSDE1,-0.880824409,7.71E-12,,,,,,,,ADAM10,,
STX11,-1.161810467,0.00013122,,,,,,,,PSMD14,,
SKAP2,-0.843756314,0.003283742,,,,,,,,GDF11,,
PRKRA,-0.467801576,0.033615019,,,,,,,,CD96,,
MYCBP2,-0.25966862,0.654782138,,,,,,,,CDKN1A,,
PGLYRP1,-1.441018388,1.35E-06,,,,,,,,SF3B4,,
GCAT,2.012729844,6.43E-12,,,,,,,,RAMP3,,
LYPLA1,-0.427096383,0.000925691,,,,,,,,CDKN1B,,
CREG1,0.117266114,0.703810133,,,,,,,,TP53COR1,,
FCN3,-0.983036977,3.42E-05,,,,,,,,LILRB2,,
SNRNP200,-1.92695494,7.02E-29,,,,,,,,ADAR,,
TRMU,-0.086239644,0.811496134,,,,,,,,RTN3,,
TIPRL,-1.432915741,4.99E-22,,,,,,,,CITED2,,
TOM1L1,-0.622004445,0.001776735,,,,,,,,NDRG1,,
SURF6,0.899282683,0.004891798,,,,,,,,PEMT,,
PPM1B,-0.955526369,2.39E-10,,,,,,,,CEACAM5,,
NUP155,-1.874176601,5.16E-20,,,,,,,,CEBPB,,
RP2,-0.373176399,0.059897352,,,,,,,,CEBPD,,
CRTAP,-1.631652859,2.81E-11,,,,,,,,KAT5,,
TRPA1,-0.827611639,0.003150617,,,,,,,,LAMTOR5,,
TCEA3,-0.967528794,1.48E-06,,,,,,,,WSPAR,,
PALM,-1.344291776,3.46E-06,,,,,,,,CCEPR,,
UGT2B17,1.891968074,2.26E-14,,,,,,,,SIVA1,,
POP7,-0.373297636,0.038609663,,,,,,,,AHSA1,,
RPP40,-0.349797939,0.285453074,,,,,,,,SLCO1B1,,
EIF3G,-1.237098404,2.93E-19,,,,,,,,TRIM3,,
EIF3J,-1.149969691,1.39E-19,,,,,,,,TXNIP,,
CBR3,0.590654678,0.001006963,,,,,,,,IGF2BP1,,
PSMD10,-1.200161649,1.63E-15,,,,,,,,CAMKK2,,
AP1G2,0.071671045,0.869297467,,,,,,,,CXCR6,,
ZMPSTE24,-0.773307739,1.22E-07,,,,,,,,CTCF,,
IDH1,0.44738331,6.86E-06,,,,,,,,PLK4,,
GATB,-0.239048293,0.426472943,,,,,,,,MAP3K2,,
SCO1,0.390058598,0.044098674,,,,,,,,PLK2,,
CYP7B1,0.323772479,0.137871819,,,,,,,,IQGAP2,,
ATRN,-2.189755506,1.02E-22,,,,,,,,LOC108004545,,
RBBP9,0.118306729,0.430880451,,,,,,,,CNE-2,,
STAM2,-1.220569812,1.50E-12,,,,,,,,CEACAM3,,
ALDH1L1,2.650161649,8.59E-20,,,,,,,,CCL27,,
DGAT1,0.116558901,0.542072008,,,,,,,,CEACAM7,,
CCNK,-0.1059608,0.698732929,,,,,,,,LYVE1,,
DHRS3,-0.295382906,0.101057039,,,,,,,,GADD45G,,
ARL6IP5,-0.271064862,0.052037645,,,,,,,,EHMT2,,
DYSF,-0.215467771,0.214156087,,,,,,,,SPIN1,,
BCAS2,-0.792978379,0.000965505,,,,,,,,APOBEC2,,
DCTN3,-0.577712669,0.000145666,,,,,,,,ATF7,,
BBOX1,2.499969691,5.12E-19,,,,,,,,UBE2C,,
DNAJC8,-1.618983633,2.92E-14,,,,,,,,CHD4,,
SMNDC1,-0.889775712,4.04E-06,,,,,,,,AKR1C4,,
ATP5H,0.624611033,1.39E-06,,,,,,,,CHEK1,,
TSPAN9,1.316063851,6.82E-13,,,,,,,,CD160,,
FLOT1,-0.567478278,0.000659813,,,,,,,,ZWINT,,
ATP5L,0.50072742,5.41E-05,,,,,,,,HHLA2,,
MPDZ,1.119478683,8.77E-06,,,,,,,,PTP4A3,,
CPD,-3.215508183,2.14E-36,,,,,,,,CHI3L1,,
SASH3,-0.980551627,9.09E-05,,,,,,,,RASSF1,,
GLRX3,-0.855758739,1.70E-10,,,,,,,,ANXA10,,
RSL1D1,-1.37910689,3.53E-09,,,,,,,,POLG2,,
WFS1,0.172802586,0.628879699,,,,,,,,PADI2,,
ANXA9,-0.460982017,0.063577387,,,,,,,,MAPK6-DT,,
CLPX,-0.190624369,0.191317143,,,,,,,,LNCARSR,,
SEC14L2,2.202333805,1.70E-16,,,,,,,,CMTM7,,
TM7SF2,0.142463124,0.641009191,,,,,,,,SLCO2B1,,
SNCG,-0.856183067,0.001929999,,,,,,,,ACOT7,,
CIAO1,-0.482067084,6.87E-05,,,,,,,,CBX3,,
SRP72,-1.133956355,7.65E-18,,,,,,,,OIP5,,
DDAH1,0.457708628,0.001688567,,,,,,,,NLRP3,,
URI1,0.588654274,0.042653803,,,,,,,,CHUK,,
B3GAT3,-0.558001616,0.022214901,,,,,,,,CYGB,,
MTA2,-1.672327743,5.10E-10,,,,,,,,VASN,,
ALDH1A2,-0.406041625,0.054561343,,,,,,,,CIRBP,,
STK10,-0.486967064,0.081412575,,,,,,,,ZNF689,,
LTN1,0.358233987,0.314114773,,,,,,,,TOP1MT,,
TOMM70A,-0.743170337,4.40E-12,,,,,,,,MRGPRF,,
MYO1D,-1.065316226,1.84E-06,,,,,,,,THEM4,,
TOX4,0.556233583,0.065785541,,,,,,,,CLU,,
SEC24D,0.308163265,0.071520377,,,,,,,,CLIC1,,
UFL1,-0.357041827,0.001104293,,,,,,,,SERPINA3,,
SORBS2,0.636431602,0.008608332,,,,,,,,GTSF1,,
TMEM63A,-1.003930087,0.000944968,,,,,,,,MSI2,,
FARP2,-0.16728632,0.52664299,,,,,,,,OSCP1,,
UBXN7,-0.982875328,0.000408451,,,,,,,,KLF17,,
PROSC,0.857698525,7.36E-07,,,,,,,,DIS3L2,,
ERLIN2,1.07361083,2.02E-13,,,,,,,,KCNH8,,
PRPF6,-2.784087694,2.84E-27,,,,,,,,COMT,,
ABCA8,0.018832087,0.953988156,,,,,,,,ADORA2B,,
FRYL,0.52231764,0.274070099,,,,,,,,CLDN3,,
ENDOD1,-0.58579511,0.01970672,,,,,,,,CLDN7,,
GLCE,0.857082239,0.008304912,,,,,,,,CPS1,,
GLS,-2.08937159,8.74E-14,,,,,,,,CPT1A,,
ABLIM3,-1.268023843,0.001873384,,,,,,,,CKS1BP7,,
SLCO2B1,1.398130936,1.04E-12,,,,,,,,ATF2,,
USP19,-1.526500303,1.46E-09,,,,,,,,CRH,,
AP2A2,0.040088907,0.713499187,,,,,,,,FUNDC1,,
SEC31A,-0.424540311,1.54E-05,,,,,,,,CRK,,
HEXIM1,-0.982147909,1.56E-07,,,,,,,,CRMP1,,
TJP3,-1.081410386,0.000641001,,,,,,,,BRI3BP,,
YIF1A,-0.782380279,6.09E-06,,,,,,,,MAPK14,,
UBR5,2.075813296,7.19E-06,,,,,,,,CSE1L,,
AGFG2,-0.588017781,0.003646992,,,,,,,,PRICKLE1,,
SCAF4,-0.621135583,0.030112479,,,,,,,,E2F7,,
NDUFB6,-0.417680339,0.055749099,,,,,,,,GSC,,
MFN2,-0.226177005,0.154627143,,,,,,,,VCAN,,
AKR7A3,2.881076985,8.50E-21,,,,,,,,SPC24,,
UBE4B,-0.872691453,0.009950684,,,,,,,,CTAG1B,,
ZFPL1,-1.550222267,2.97E-14,,,,,,,,CTBS,,
IKBKAP,-1.129379673,1.28E-11,,,,,,,,RNF187,,
GABARAP;GABARAPL1,-0.51635684,0.00299437,,,,,,,,CTNND1,,
NDUFA3,0.632269145,0.000311742,,,,,,,,CTSB,,
NDUFB4,1.129844413,2.95E-10,,,,,,,,LRATD1,,
NDUFB8,1.239290766,6.82E-13,,,,,,,,CYP2C9,,
NDUFA7,1.433936149,1.70E-13,,,,,,,,CYP2D6,,
VAMP5,-0.281359871,0.214757403,,,,,,,,TMEM74,,
RTN3,-0.385936553,0.019130079,,,,,,,,CBLL2,,
LETM1,-1.242341887,2.13E-17,,,,,,,,CYP17A1,,
STBD1,1.638533037,5.39E-14,,,,,,,,CYP19A1,,
ZRANB2,-1.742574257,1.34E-13,,,,,,,,DEUP1,,
SNX4,-1.249464538,4.16E-09,,,,,,,,DGKQ,,
LUC7L3,-2.143382502,1.41E-20,,,,,,,,DAPK1,,
APOL3,0.648565367,0.007013243,,,,,,,,AKR1C1,,
SBF1,-0.583572439,0.022573421,,,,,,,,DDX3X,,
GOSR1,-1.197736917,8.41E-11,,,,,,,,DHX9,,
ABCC6,1.095888058,2.62E-07,,,,,,,,DECR1,,
ATE1,-0.803394625,7.38E-07,,,,,,,,DEFB1,,
VAPB,0.002556072,0.986850933,,,,,,,,CFD,,
SNAPIN,-1.087138816,9.73E-09,,,,,,,,DACT2,,
MPZL1,-0.090250556,0.725282644,,,,,,,,DIO3,,
NDUFC2;NDUFC2-KCTD14,0.399595878,0.057208799,,,,,,,,DLD,,
NDUFA10,0.837017579,1.52E-07,,,,,,,,DPP4,,
FKBP9,-0.670731461,0.022709392,,,,,,,,DPYD,,
PGLS,-0.125641544,0.195262619,,,,,,,,DPYS,,
PAPSS2,0.911537684,2.42E-07,,,,,,,,DVL1,,
ABCB11,1.49354415,4.60E-10,,,,,,,,E2F2,,
ATG7,-1.299282683,4.39E-14,,,,,,,,ECHS1,,
TACC2,-0.147918771,0.750798244,,,,,,,,EDNRA,,
FARS2,-0.483329966,0.055110682,,,,,,,,EDNRB,,
LYPLA2,-0.606829663,2.99E-05,,,,,,,,EIF2S1,,
IPO7,-1.753849262,1.46E-30,,,,,,,,ARID2,,
ARIH2,-1.013568398,3.57E-06,,,,,,,,EIF2S3,,
TNFAIP8,-0.731561932,0.000515896,,,,,,,,EIF4E,,
PGM3,-0.140786017,0.391158705,,,,,,,,ELANE,,
MOCS3,-0.673105678,0.001577161,,,,,,,,ELK1,,
CD2BP2,-0.887229743,0.001942484,,,,,,,,ELK3,,
CNIH1,-0.137159022,0.628879699,,,,,,,,TIGD1,,
SVIL,-1.525186906,5.98E-05,,,,,,,,ALG1L,,
BAG4,0.149211962,0.677846704,,,,,,,,ENG,,
AHSA1,-1.240937563,5.87E-09,,,,,,,,ENO1,,
APOM,-0.926217418,3.82E-06,,,,,,,,ENSA,,
PARN,-0.926540715,0.004386803,,,,,,,,EPHA3,,
PSMG1,-1.290876945,1.53E-16,,,,,,,,EPHB6,,
FMNL1,-1.591735704,3.89E-06,,,,,,,,EPS8,,
SGPL1,-0.174924227,0.229618422,,,,,,,,ERBB2,,
ABCA1,-0.846433623,0.03930502,,,,,,,,ERCC2,,
H6PD,0.600272782,4.60E-06,,,,,,,,ERG,,
SEC24A,-0.71609416,3.49E-09,,,,,,,,ESR1,,
SEC24B,0.036057789,0.827831006,,,,,,,,ESR2,,
VNN1,-1.468993736,3.48E-07,,,,,,,,ESRRA,,
NADK,-0.197201455,0.467168966,,,,,,,,ESRRG,,
MPC2,0.859153364,7.23E-06,,,,,,,,FABP4,,
ETHE1,0.268751263,0.045265125,,,,,,,,ACSL1,,
ACSL3,-1.36039604,9.70E-16,,,,,,,,MPEG1,,
PCNT,1.378076379,0.003437443,,,,,,,,LTO1,,
STAMBP,-1.336229541,4.39E-11,,,,,,,,OTUD1,,
CPSF4,0.055748636,0.832992035,,,,,,,,ZEB1-AS1,,
ASMTL,0.658446151,0.000101621,,,,,,,,HOXA11-AS,,
CDS2,-0.474297838,0.001867037,,,,,,,,FER,,
FGFR1OP,0.013497676,0.96492761,,,,,,,,FGA,,
HERC2,2.233572439,7.61E-05,,,,,,,,FGFR4,,
ESRRB,0.353465347,0.094277203,,,,,,,,FHL1,,
SNAP29,-0.966659931,0.000605047,,,,,,,,FHL2,,
OXSR1,-0.497049909,0.000166157,,,,,,,,FHL3,,
GGPS1,-0.86552839,0.002202257,,,,,,,,TDGF1P6,,
HSPA4L,-0.349878763,0.165329,,,,,,,,MORC2,,
PTBP3,-1.322398464,2.77E-08,,,,,,,,ATF6,,
LSM8,-1.088189533,5.31E-12,,,,,,,,SCAP,,
AP2A1,-0.655970903,1.27E-11,,,,,,,,FOXC1,,
DDX58,-0.693594666,0.001147969,,,,,,,,TPX2,,
STAU1,-1.14890887,1.13E-13,,,,,,,,SEPTIN6,,
TTC4,-0.85453627,0.001037405,,,,,,,,LARP4B,,
SDPR,1.260547585,1.18E-11,,,,,,,,SULF1,,
BAG2,-1.742099414,1.96E-15,,,,,,,,SASH1,,
BAG3,-1.787926854,1.65E-09,,,,,,,,SYNE1,,
MAP4K4,-1.142564154,0.000277482,,,,,,,,SIRT5,,
MLYCD,1.590341483,3.73E-18,,,,,,,,SIRT4,,
CRYZL1,-0.433521924,0.042162838,,,,,,,,NCS1,,
AIFM1,0.602535866,4.66E-08,,,,,,,,KCNH4,,
EML2,-0.70036371,3.58E-06,,,,,,,,GRIP1,,
NUDT14,-0.897514649,0.000435867,,,,,,,,BRD4,,
BPNT1,-0.693150131,1.31E-09,,,,,,,,FOLR1,,
DDAH2,-0.285027278,0.122558254,,,,,,,,FOLR2,,
ABHD16A,-0.713194585,3.95E-06,,,,,,,,SRRM2,,
TXNDC12,-1.04473631,2.59E-08,,,,,,,,FOSB,,
FTCD,2.787148919,1.03E-27,,,,,,,,RBFOX2,,
TOP3B,1.091099212,0.006101225,,,,,,,,SMUG1,,
NUDT3,-0.724459487,2.68E-05,,,,,,,,KLHDC2,,
NDUFB10,0.81612447,6.52E-06,,,,,,,,DAPK2,,
CLPTM1,-0.813507779,1.19E-09,,,,,,,,SNHG1,,
ZBED1,0.700303092,0.010907276,,,,,,,,TRIM29,,
MOCS2,-0.86705395,0.000243391,,,,,,,,SLC7A11,,
TOMM40,-1.000212164,8.74E-08,,,,,,,,SH3BP4,,
PEX11B,-1.527116589,6.55E-16,,,,,,,,CTAG1A,,
PAK4,0.121964033,0.731885377,,,,,,,,ALPP,,
ACTL6A,-1.988644171,1.84E-18,,,,,,,,TMEM9,,
WHSC1,-1.332622752,1.77E-05,,,,,,,,G6PD,,
MOCS2,-0.251414427,0.057002765,,,,,,,,SERPINA11,,
MT-CYB,0.209052334,0.240416242,,,,,,,,RAD54B,,
CYB5A,0.889240251,2.50E-11,,,,,,,,PRDX5,,
ADH1B,2.667902607,1.79E-28,,,,,,,,FBXL2,,
ADH1C,1.838149121,3.40E-20,,,,,,,,LETMD1,,
LDHA,0.01264902,0.90651664,,,,,,,,RNF19A,,
ALDH1A1,0.652667205,9.45E-08,,,,,,,,CLIC4,,
GLUD1,1.239876743,5.03E-18,,,,,,,,WWTR1,,
DHFR,-0.317175187,0.172530147,,,,,,,,SAMHD1,,
CYB5R3,-0.35046474,0.000865157,,,,,,,,KRT23,,
GSR,-0.341664983,0.029552268,,,,,,,,ATRNL1,,
MT-CO1,0.576682158,0.01104986,,,,,,,,POLDIP2,,
MT-CO2,0.740866842,2.92E-09,,,,,,,,PRPF31,,
MT-CO3,0.516245706,0.000459953,,,,,,,,ZBTB20,,
PAH,2.629905031,2.08E-25,,,,,,,,TIPRL,,
SOD1,0.771175995,1.13E-10,,,,,,,,B3GAT3,,
CP,-0.424752475,0.001043258,,,,,,,,GATA1,,
OTC,1.873065266,9.65E-11,,,,,,,,GATA3,,
F13A1,-2.553728026,7.35E-14,,,,,,,,VPS33B,,
PNP,0.682461103,1.22E-06,,,,,,,,SLC17A5,,
HPRT1,-0.496069913,0.000339345,,,,,,,,GDF2,,
GOT2,1.099262477,3.79E-15,,,,,,,,GEM,,
EGFR,-0.091432613,0.606235159,,,,,,,,LAT,,
PGK1,-0.308001616,0.000852378,,,,,,,,SND1,,
AK1,0.247585371,0.087179649,,,,,,,,B9D1,,
F2,-1.135643564,3.48E-16,,,,,,,,DKK4,,
C1R,-0.44473631,0.004379274,,,,,,,,DKK3,,
HP,0.813194585,2.05E-05,,,,,,,,DKK2,,
HPR,-0.178005658,0.476628485,,,,,,,,PDCD4,,
F9,0.033562336,0.827831006,,,,,,,,PDLIM3,,
F10,-0.894584765,0.001397625,,,,,,,,RBMS3,,
CFD,-0.592655082,0.019830211,,,,,,,,HPGDS,,
PLG,-0.23625985,0.058304627,,,,,,,,RABGEF1,,
F12,-0.267266114,0.137529818,,,,,,,,GLI1,,
CFB,-0.781733684,1.54E-07,,,,,,,,GLI3,,
ADA,-0.939523136,0.001170248,,,,,,,,BIN1,,
MT-ATP6,0.423085472,0.013712195,,,,,,,,MAT2B,,
CA1,0.91705395,1.05E-06,,,,,,,,GP1BA,,
CA2,1.55645585,6.28E-20,,,,,,,,XCR1,,
ASS1,2.344524146,1.33E-28,,,,,,,,CXCR3,,
OAS1,0.009355425,0.973144084,,,,,,,,IGHVIV-44-1,,
SERPINC1,-0.185370782,0.236290702,,,,,,,,SLC13A5,,
SERPINA1,-0.850757729,8.62E-08,,,,,,,,ANGPT2,,
SERPINA3,-1.177611639,1.41E-08,,,,,,,,GPER1,,
AGT,-0.884703981,1.11E-11,,,,,,,,DLX6-AS1,,
A2M,-0.10668822,0.462464502,,,,,,,,FAM83H,,
C3,-0.51251768,9.01E-06,,,,,,,,SCARA5,,
C5,-0.388250152,0.010426366,,,,,,,,TMEM176B,,
CSTA,-0.725277834,0.003468082,,,,,,,,GRM5,,
KNG1,-0.756728632,1.87E-10,,,,,,,,GSR,,
HRAS,-0.824419075,3.02E-07,,,,,,,,GSTA3,,
KRAS,-0.347656092,0.089128613,,,,,,,,GSTM1,,
LDLR,0.597100424,0.127588765,,,,,,,,GSTP1,,
IGJ,0.202111538,0.369907034,,,,,,,,GSTT1,,
,-0.269741362,0.233784205,,,,,,,,TMOD3,,
,-0.161406345,0.462462809,,,,,,,,SNX10,,
,-0.082642958,0.655387377,,,,,,,,OSGIN1,,
,-0.325591028,0.076780962,,,,,,,,ANXA1,,
,-0.360274803,0.163993757,,,,,,,,HCFC1,,
,-0.086492221,0.696373857,,,,,,,,ANXA3,,
,-0.194978784,0.336530589,,,,,,,,CFH,,
,-0.378480501,0.12287429,,,,,,,,ANXA5,,
,-0.19890887,0.438499298,,,,,,,,HGFAC,,
,-0.198029905,0.389195005,,,,,,,,ANXA6,,
,-0.387825823,0.152654033,,,,,,,,HIC1,,
,-0.175954738,0.40753209,,,,,,,,HK1,,
CD4,-0.679713073,0.048005793,,,,,,,,ACACA,,
,-0.315184886,0.086318138,,,,,,,,HLA-A,,
,-0.47983431,0.014132236,,,,,,,,HLA-DRB1,,
IGHV3-23,-0.348494645,0.046908203,,,,,,,,HLA-DRB4,,
,-0.389412002,0.018359994,,,,,,,,HLF,,
,-0.26669024,0.107796919,,,,,,,,HMBS,,
,-0.437856133,0.022304058,,,,,,,,HMGB3,,
,-0.164770661,0.322170689,,,,,,,,HMGCR,,
,-0.355011113,0.044098674,,,,,,,,HMGCS2,,
,-0.492624773,0.016523824,,,,,,,,NR4A1,,
,-0.278854314,0.191387669,,,,,,,,FOXA2,,
PIGR,-1.247292382,0.000628606,,,,,,,,HNRNPA2B1,,
IGKC,-0.059476662,0.671443902,,,,,,,,HNRNPC,,
IGHG1,-0.119721156,0.304039639,,,,,,,,HNRNPU,,
IGHG2,-0.255758739,0.053888368,,,,,,,,HOXA7,,
IGHG3,-0.131834714,0.495002115,,,,,,,,HOXA10,,
IGHG4,-0.159991918,0.454256814,,,,,,,,HOXA13,,
IGHM,0.283360275,0.135120618,,,,,,,,APC,,
IGHA1,0.05953728,0.739966744,,,,,,,,HPD,,
IGHA2,0.154798949,0.59751925,,,,,,,,HPR,,
HLA-A,-1.016063851,6.62E-05,,,,,,,,MT1DP,,
HLA-DRA,-0.237886442,0.205463379,,,,,,,,AGFG1,,
HLA-DRB1,-0.692998586,0.000688347,,,,,,,,APEX1,,
HLA-DQB1,-1.277712669,4.90E-07,,,,,,,,HSF1,,
HBD,0.953728026,1.87E-06,,,,,,,,ACADL,,
HBE1,0.45526369,0.067191949,,,,,,,,BIRC3,,
COL1A1,-1.265003031,0.000231016,,,,,,,,HSPA1B,,
COL4A1,-0.824459487,0.009147103,,,,,,,,HSPA4,,
CRYAB,-0.77029703,0.001383998,,,,,,,,HTC2,,
KRT14,-0.464659527,0.098350948,,,,,,,,ID1,,
KRT6A,0.117751061,0.547556908,,,,,,,,ABCB5,,
LMNA,-1.148141039,5.11E-15,,,,,,,,RSPO2,,
SPTA1,0.760891089,0.060455829,,,,,,,,IDH2,,
APOA1,0.058385532,0.661871301,,,,,,,,IDUA,,
APOE,-1.67662154,5.95E-27,,,,,,,,IFNB1,,
APOA2,-0.645170742,0.000373252,,,,,,,,ACTBL2,,
APOC1,-1.012992524,2.95E-10,,,,,,,,H3P44,,
APOC2,-0.492372196,0.022689405,,,,,,,,APOE,,
APOC3,0.049151344,0.797681633,,,,,,,,IGF2R,,
FGA,-0.451838755,0.001496361,,,,,,,,IGFBP1,,
FGB,-0.336138614,0.015516188,,,,,,,,IGFBP3,,
FGG,-0.42135785,0.000857081,,,,,,,,IL2RA,,
GYPA,0.116286118,0.519740772,,,,,,,,IL6ST,,
SLC4A1,1.515952718,1.87E-06,,,,,,,,CXCR1,,
APCS,0.944786826,3.16E-05,,,,,,,,PCNAP1,,
C1QA,-0.090270762,0.63188079,,,,,,,,IRF2BP2,,
C1QB,0.062659123,0.768347248,,,,,,,,ILK,,
C1QC,0.116104263,0.526027144,,,,,,,,AQP5,,
C9,-0.097171146,0.651260157,,,,,,,,AQP9,,
APOH,-0.705485957,1.47E-10,,,,,,,,IRS1,,
LRG1,-0.643988685,0.003138709,,,,,,,,AR,,
FN1,-2.423651243,3.61E-34,,,,,,,,ITGA2,,
RBP4,-0.13317842,0.465124926,,,,,,,,ITGA7,,
AMBP,-0.800282885,8.35E-11,,,,,,,,JUND,,
ORM1,-0.214093756,0.125551538,,,,,,,,CD82,,
AHSG,-0.854495858,4.13E-08,,,,,,,,AREG,,
TTR,-0.152576278,0.361366718,,,,,,,,NDUFS7,,
ALB,-0.149363508,0.183389334,,,,,,,,NCR3LG1,,
GC,-0.320408163,0.005040392,,,,,,,,KIR3DL1,,
TFRC,-3.453647201,7.05E-27,,,,,,,,KIT,,
TF,-0.183794706,0.074176747,,,,,,,,ARF6,,
LTF,1.666932714,5.82E-07,,,,,,,,KPNA2,,
HPX,-0.363800768,0.001228417,,,,,,,,KRAS,,
FTL,1.553334007,2.82E-07,,,,,,,,KRT6A,,
FTH1,1.788189533,6.59E-08,,,,,,,,KRT10,,
MT2A,2.921650839,1.82E-16,,,,,,,,RHOA,,
MT-ND1,0.579046272,0.000450267,,,,,,,,KRT19,,
MT-ND3,0.224883815,0.260175854,,,,,,,,TMEM82,,
MT-ND4,0.402525763,0.070689014,,,,,,,,LIN28B,,
MT-ND5,0.741897353,0.001086284,,,,,,,,ZCCHC13,,
MT-ND6,0.376611437,0.010545456,,,,,,,,STMN1,,
MT-ATP8,0.326308345,0.039831337,,,,,,,,LEP,,
ANG,-0.804940392,0.0006596,,,,,,,,LEPR,,
F11,-0.549020004,0.066813749,,,,,,,,LGALS1,,
